,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
105,https://www.psychologytoday.com/intl/blog/protecting-children-sexual-abuse/202008/language-matters-child-pornography-no-longer,https://www.psychologytoday.com/intl/blog/protecting-children-sexual-abuse/202008/language-matters-child-pornography-no-longer?amp,Language Matters :  Child Pornography  No Longer,20200821T024500Z,https://cdn.psychologytoday.com/sites/default/files/styles/image-article_inline_full/public/field_blog_entry_teaser_image/2020-08/silhouette-5273066_1920.jpg?itok=rCKCBF9q,psychologytoday.com,English,United States
106,http://www.dailymirror.lk/news-features/Zoom-discussion-on-lack-of-child-security/131-192627,,Daily Mirror - Zoom discussion on lack of child security,20200724T191500Z,http://static.dailymirror.lk/assets/uploads/image_74f94d635f.jpg,dailymirror.lk,English,Sri Lanka
107,https://www.ibtimes.com/us-senate-panel-oks-online-child-protection-bill-amid-privacy-fears-3004665,,US Senate Panel OKs Online Child Protection Bill Amid Privacy Fears,20200702T210000Z,https://s1.ibtimes.com/sites/www.ibtimes.com/files/styles/full/public/2020/07/02/us-senate-judiciary-committee-chairman-lindsey-graham-said.jpg,ibtimes.com,English,United States
108,https://www.cretalive.gr/kriti/endooikogeneiaki-bia-eheis-foni-eimaste-dipla-soy,,Ενδοοικογενειακή Βία : « Έχεις φωνή - Είμαστε δίπλα σου » ,20200726T170000Z,https://www.cretalive.gr/sites/default/files/styles/og_image/public/2020-07/missing-children-kartela-final2.png?itok=dgFBsk02,cretalive.gr,Greek,Greece
109,https://www.lrt.lt/en/news-in-english/19/1202493/the-dark-side-of-scrolling-abuse-of-children-gets-platform-on-social-media,,The dark side of scrolling . Abuse of children gets platform on social media,20200731T080000Z,https://www.lrt.lt/img/2020/02/12/600691-101278-1287x836.jpg,lrt.lt,English,Lithuania
110,https://www.internethaber.com/kuzenine-zorla-sigara-icirmeye-calisti-uzmanlar-istismar-dedi-2113007h.htm,https://www.internethaber.com/amp/kuzenine-zorla-sigara-icirmeye-calisti-uzmanlar-istismar-dedi-2113007h.htm,Kuzenine zorla sigara içirmeye çalıştı ! Uzmanlar  istismar  dedi,20200708T090000Z,https://i.internethaber.com/storage/files/images/2020/07/08/kuzen-XlrE_cover.jpg.webp,internethaber.com,Turkish,Turkey
111,https://tucson.com/news/world/eu-unveils-plans-to-step-up-fight-against-child-sexual-abuse/article_9a129a2f-a0b8-54da-96dc-0e235dadb1a5.html,https://tucson.com/news/world/eu-unveils-plans-to-step-up-fight-against-child-sexual-abuse/article_9a129a2f-a0b8-54da-96dc-0e235dadb1a5.amp.html,EU unveils plans to step up fight against child sexual abuse,20200724T170000Z,https://bloximages.chicago2.vip.townnews.com/tucson.com/content/tncms/assets/v3/editorial/f/cd/fcdf15d8-56e4-5868-a1fa-a35f3e625bfe/5f1af12956dce.image.jpg?crop=1763%2C992%2C0%2C91,tucson.com,English,United States
112,https://www.bz-berlin.de/liveticker/natascha-ochsenknecht-kaempft-fuer-haertere-strafen-bei-kindesmissbrauch,,Natascha Ochsenknecht kämpft für härtere Strafen bei Kindesmissbrauch,20200623T141500Z,https://s3-eu-west-1.amazonaws.com/de-asitcp-ir-bz-data-prod/data/uploads/2019/05/bz15ochsr_1557241560-768x432.jpg,bz-berlin.de,German,Germany
113,https://www.skai.gr/news/world/germania-seksoualiki-kakopoiisi-paidion-30000-ypoptes-ip-to-profil-ton-draston,https://www.skai.gr/news/world/germania-seksoualiki-kakopoiisi-paidion-30000-ypoptes-ip-to-profil-ton-draston/amp,Γερμανία - Σεξουαλική κακοποίηση παιδιών : 30 . 000 ύποπτες IP - Το προφίλ των δραστών,20200701T103000Z,https://www.skai.gr/sites/default/files/styles/large/public/2020-02/abuse_shutterstock_1212297109.jpg?itok=rykSAVdD,skai.gr,Greek,Greece
114,http://www.hani.co.kr/arti/area/yeongnam/956247.html,http://m.hani.co.kr/arti/area/yeongnam/956247.html,"경남도교육청 ,  아동학대 예방 · 대처 요령  매뉴얼 마련 : 영남 : 전국 : 뉴스 : 한겨레",20200803T071500Z,http://flexible.img.hani.co.kr/flexible/normal/970/583/imgdb/original/2020/0803/20200803501773.jpg,hani.co.kr,Korean,South Korea
115,http://www.hani.co.kr/arti/956247.html,http://m.hani.co.kr/arti/area/yeongnam/956247.html,"경남도교육청 ,  아동학대 예방 · 대처 요령  매뉴얼 마련 : 영남 : 전국 : 뉴스 : 한겨레",20200803T060000Z,http://flexible.img.hani.co.kr/flexible/normal/970/583/imgdb/original/2020/0803/20200803501773.jpg,hani.co.kr,Korean,South Korea
116,http://www.busan.com/view/busan/view.php?code=2020061220375615381,,"  창녕 아동학대  친모 , 지역 맘카페 글 발견돼 공분 … 편애 흔적도 나타나",20200612T140000Z,http://www.busan.com/nas/wcms/wcms_data/photos/2020/06/12/2020061220374823798_l.jpg,busan.com,Korean,South Korea
117,https://www.nhregister.com/business/press-releases/article/Online-Safety-Advisory-Child-Rescue-Coalition-15317714.php,,Online Safety Advisory : Child Rescue Coalition Finds Increase In Distribution Of Child Sexual Abuse Material In File Sharing Networks During Covid - 19,20200605T023000Z,https://s.hdnux.com/photos/01/12/31/47/19503570/3/rawImage.png,nhregister.com,English,United States
118,https://tvxs.gr/news/eyropi-eop/skandalo-seksoyalikis-kakopoiisis-paidion-sti-germania,https://m.tvxs.gr/mo/i/320403/f/news/eyropi-eop/skandalo-seksoyalikis-kakopoiisis-paidion-sti-germania.html,Σκάνδαλο σεξουαλικής κακοποίησης παιδιών στη Γερμανία,20200701T164500Z,https://im2.7job.gr/sites/default/files/imagecache/775x435/article/2020/27/320403-child_education_fear_terror_violent_suppression_nanny_repression-610258.jpg,tvxs.gr,Greek,Greece
119,https://www.dailymail.co.uk/news/article-8620933/Angelina-Jolie-warns-COVID-19-pandemic-placed-children-increased-exposure-violence.html,https://www.dailymail.co.uk/news/article-8620933/amp/Angelina-Jolie-warns-COVID-19-pandemic-placed-children-increased-exposure-violence.html,Angelina Jolie warns the COVID - 19 pandemic placed children at  increased exposure  to violence,20200812T213000Z,https://i.dailymail.co.uk/1s/2020/08/12/22/31879560-0-image-a-16_1597266024859.jpg,dailymail.co.uk,English,United Kingdom
120,https://www.brisbanetimes.com.au/national/victoria/more-than-7-4-million-images-of-child-abuse-circulating-in-victoria-20200619-p554dy.html,https://amp.brisbanetimes.com.au/national/victoria/more-than-7-4-million-images-of-child-abuse-circulating-in-victoria-20200619-p554dy.html,More than 7 . 4 million images of child abuse circulating in Victoria,20200619T141500Z,https://static.ffx.io/images/$zoom_0.2597%2C$multiply_0.7554%2C$ratio_1.777778%2C$width_1059%2C$x_66%2C$y_6/t_crop_custom/q_86%2Cf_auto/892ef9c381fe6ef8a3ebdfd2090e48324f507b23,brisbanetimes.com.au,English,Australia
121,https://www.abc.net.au/news/2020-07-13/adelaide-man-charged-with-filming-women-in-their-homes/12448412,https://amp.abc.net.au/article/12448412,Adelaide man accused of filming women in their homes and possessing child abuse material,20200713T000000Z,https://www.abc.net.au/cm/rimage/9728500-16x9-large.jpg?v=4,abc.net.au,English,Australia
122,https://www.americamagazine.org/politics-society/2020/06/19/lockdown-has-increased-risk-grooming-abuse-minors-says-expert,,"Lockdown has increased risk of grooming , abuse of minors , says expert",20200619T210000Z,https://www.americamagazine.org/sites/default/files/styles/article_image_750_x_503_/public/main_image/20200619T1013-2767-CNS-VATICAN-SAFEGUARDING-ZOLLNER_800.jpg.png?itok=6V3kdn5F,americamagazine.org,English,United States
123,https://www.goldcoastbulletin.com.au/border-force-officers-seizing-large-number-of-lifelike-child-sex-dolls-ordered-online/news-story/d9dd44c66b1f78ba6ea249a673ef9ddf?nk=9935647fbfce3356d62a680edb45ed1b-1596052904,https://amp.goldcoastbulletin.com.au/border-force-officers-seizing-large-number-of-lifelike-child-sex-dolls-ordered-online/news-story/d9dd44c66b1f78ba6ea249a673ef9ddf,Australian Border Force seizes illegal realistic child sex dolls,20200729T201500Z,https://cdn.newsapi.com.au/image/v1/bc4975f70002fc562190643143505538,goldcoastbulletin.com.au,English,Australia
124,https://www.goldcoastbulletin.com.au/border-force-officers-seizing-large-number-of-lifelike-child-sex-dolls-ordered-online/news-story/d9dd44c66b1f78ba6ea249a673ef9ddf?nk=2f7177781bba18d2888d4794d798f752-1596010667,https://amp.goldcoastbulletin.com.au/border-force-officers-seizing-large-number-of-lifelike-child-sex-dolls-ordered-online/news-story/d9dd44c66b1f78ba6ea249a673ef9ddf,Australian Border Force seizes illegal realistic child sex dolls,20200729T083000Z,https://cdn.newsapi.com.au/image/v1/b3421f08904b781f3aca6a8d3bfd49e0,goldcoastbulletin.com.au,English,Australia
125,https://www.goldcoastbulletin.com.au/border-force-officers-seizing-large-number-of-lifelike-child-sex-dolls-ordered-online/news-story/d9dd44c66b1f78ba6ea249a673ef9ddf?nk=48775f7209a6661b9a0a6aa35549ded7-1596009896,https://amp.goldcoastbulletin.com.au/border-force-officers-seizing-large-number-of-lifelike-child-sex-dolls-ordered-online/news-story/d9dd44c66b1f78ba6ea249a673ef9ddf,Australian Border Force seizes illegal realistic child sex dolls,20200729T081500Z,https://cdn.newsapi.com.au/image/v1/9e636bb8a8580f084c76460aef5bbe40,goldcoastbulletin.com.au,English,Australia
126,https://www.goldcoastbulletin.com.au/border-force-officers-seizing-large-number-of-lifelike-child-sex-dolls-ordered-online/news-story/d9dd44c66b1f78ba6ea249a673ef9ddf?nk=3466ea76de37d8ec0fdda14518e950e6-1596090774,https://amp.goldcoastbulletin.com.au/border-force-officers-seizing-large-number-of-lifelike-child-sex-dolls-ordered-online/news-story/d9dd44c66b1f78ba6ea249a673ef9ddf,Australian Border Force seizes illegal realistic child sex dolls,20200730T064500Z,https://cdn.newsapi.com.au/image/v1/bc4975f70002fc562190643143505538,goldcoastbulletin.com.au,English,Australia
127,https://www.goldcoastbulletin.com.au/border-force-officers-seizing-large-number-of-lifelike-child-sex-dolls-ordered-online/news-story/d9dd44c66b1f78ba6ea249a673ef9ddf?nk=58680a071e4cdf1a95a9b7d15e87ac0a-1596008008,https://amp.goldcoastbulletin.com.au/border-force-officers-seizing-large-number-of-lifelike-child-sex-dolls-ordered-online/news-story/d9dd44c66b1f78ba6ea249a673ef9ddf,Australian Border Force seizes illegal realistic child sex dolls,20200729T074500Z,https://cdn.newsapi.com.au/image/v1/9e636bb8a8580f084c76460aef5bbe40,goldcoastbulletin.com.au,English,Australia
128,https://www.wbir.com/article/news/crime/ksp-mccracken-co-man-arrested-on-more-than-20-counts-related-to-child-sexual-exploitation/51-fbe62c45-3f7a-482e-9552-49aa40cf4fff,https://www.wbir.com/amp/article/news/crime/ksp-mccracken-co-man-arrested-on-more-than-20-counts-related-to-child-sexual-exploitation/51-fbe62c45-3f7a-482e-9552-49aa40cf4fff,KSP : McCracken Co . man arrested on more than 20 counts related to child sexual exploitation,20200728T131500Z,https://media.wbir.com/assets/WBIR/images/a747512d-bc78-46b8-9bfa-8ba9ad8ba869/a747512d-bc78-46b8-9bfa-8ba9ad8ba869_1140x641.jpg,wbir.com,English,United States
129,http://newspim.com/news/view/20200729000884,http://m.newspim.com/newsamp/view/20200729000884,"뉴스핌 - 코로나19로 위기의 아동 · 청소년 , 전국 협의체 구성해 보호한다",20200729T070000Z,http://img.newspim.com/news/2020/07/29/200729154041658_w.jpg,newspim.com,Korean,South Korea
130,http://www.msn.com/en-nz/news/australia/mothers-play-an-increasingly-large-and-shocking-role-in-south-east-asian-child-sexual-abuse/ar-BB16dOTo,,Mothers play an increasingly large and shocking role in South - East Asian child sexual abuse,20200701T194500Z,,msn.com,English,United States
131,https://www.msn.com/en-au/news/australia/mothers-play-an-increasingly-large-and-shocking-role-in-south-east-asian-child-sexual-abuse/ar-BB16dOTo,,Mothers play an increasingly large and shocking role in South - East Asian child sexual abuse,20200701T193000Z,,msn.com,English,United States
132,https://www.naftemporiki.gr/story/1614827/skandalo-seksoualikis-kakopoiisis-paidion-sti-germania,https://m.naftemporiki.gr/amp/story/1614827/skandalo-seksoualikis-kakopoiisis-paidion-sti-germania,Σκάνδαλο σεξουαλικής κακοποίησης παιδιών στη Γερμανία,20200701T103000Z,https://www.naftemporiki.gr/fu/t/1614827/1080/568/0x0000000001887e28/2/1/skandalo-seksoualikis-kakopoiisis-paidion-germania.jpg,naftemporiki.gr,Greek,Greece
133,https://www.in.gr/2020/07/01/world/germania-friki-tis-apokalypseis-gia-diethnes-diktyo-paiderastias-30-000-ypoptous/,https://www.in.gr/2020/07/01/world/germania-friki-tis-apokalypseis-gia-diethnes-diktyo-paiderastias-30-000-ypoptous/amp/,Γερμανία : Φρίκη με τις αποκαλύψεις για διεθνές δίκτυο παιδεραστίας με 30 . 000 υπόπτους,20200701T123000Z,https://www.in.gr/wp-content/uploads/2020/07/POLIZEI.jpeg,in.gr,Greek,Greece
134,https://www.thechronicle.com.au/news/aussie-sex-predators-pay-just-15-as-parents-agree-/4031555/,https://m.thechronicle.com.au/news/aussie-sex-predators-pay-just-15-as-parents-agree-/4031555/,Aussie sex predators pay $15 as parents  agree to abuse  ,20200606T220000Z,https://media.apnarm.net.au/media/images/2020/06/07/v3imagesbind535af92da5c09d02fada5a9cf5fbd0c-cj1gj8j740jy8gzqgu2_ct1880x930.jpg,thechronicle.com.au,English,Australia
135,https://gadgets.ndtv.com/internet/news/calls-for-cooperation-as-online-child-sex-abuse-soars-in-europe-2248494,https://gadgets.ndtv.com/internet/news/calls-for-cooperation-as-online-child-sex-abuse-soars-in-europe-2248494?amp=1 -rum=off,Calls for Cooperation as Online Child Sex Abuse Soars in Europe,20200618T163000Z,https://i.gadgets360cdn.com/large/hacking_reuters_full_1559645243937.JPG,gadgets.ndtv.com,English,India
136,https://politis.com.cy/deutsche-welle/skandalo-sexoyalikis-kakopoiisis-pa/,,Σκάνδαλο σεξουαλικής κακοποίησης παιδιών στη Γερμανία,20200701T133000Z,https://politis.com.cy/wp-content/uploads/2020/07/49896955_304-1.jpg,politis.com.cy,Greek,Cyprus
137,https://politis.com.cy/deutsche-welle/%CF%83%CE%BA%CE%AC%CE%BD%CE%B4%CE%B1%CE%BB%CE%BF-%CF%83%CE%B5%CE%BE%CE%BF%CF%85%CE%B1%CE%BB%CE%B9%CE%BA%CE%AE%CF%82-%CE%BA%CE%B1%CE%BA%CE%BF%CF%80%CE%BF%CE%AF%CE%B7%CF%83%CE%B7%CF%82-%CF%80%CE%B1/,,Σκάνδαλο σεξουαλικής κακοποίησης παιδιών στη Γερμανία,20200701T100000Z,https://politis.com.cy/wp-content/uploads/2020/07/49896955_304.jpg,politis.com.cy,Greek,Cyprus
138,https://www.24ur.com/novice/crna-kronika/aretirali-moskega-ki-je-na-temnem-spletu-objavljal-otrosko-pornografijo.html,,"Aretirali moškega , ki je na temnem spletu objavljal otroško pornografijo",20200713T171500Z,,24ur.com,Slovenian,Slovenia
139,https://www.thestar.com.my/tech/tech-news/2020/06/18/calls-for-cooperation-as-online-child-sex-abuse-soars-in-europe,,Calls for cooperation as online child sex abuse soars in Europe,20200618T061500Z,https://apicms.thestar.com.my/uploads/images/2020/06/18/724302.jpg,thestar.com.my,English,Malaysia
140,https://www.thejakartapost.com/news/2020/06/18/calls-for-cooperation-as-online-child-sex-abuse-soars-in-europe.html,https://www.thejakartapost.com/amp/news/2020/06/18/calls-for-cooperation-as-online-child-sex-abuse-soars-in-europe.html,Calls for cooperation as online child sex abuse soars in Europe,20200618T073000Z,https://img.jakpost.net/c/2019/01/17/2019_01_17_63282_1547716584._large.jpg,thejakartapost.com,English,Indonesia
141,https://www.thetelegraph.com/news/article/EU-unveils-plans-to-step-up-fight-against-child-15431469.php,https://www.thetelegraph.com/news/amp/EU-unveils-plans-to-step-up-fight-against-child-15431469.php,EU unveils plans to step up fight against child sexual abuse,20200724T150000Z,https://s.hdnux.com/photos/01/13/17/02/19722375/3/rawImage.jpg,thetelegraph.com,English,United States
142,https://www.9news.com.au/national/nsw-man-charged-with-child-abuse-material/b193b9c7-a466-4105-be88-b35d0b3830a4,https://amp.9news.com.au/article/b193b9c7-a466-4105-be88-b35d0b3830a4,NSW man charged with child abuse material,20200612T030000Z,https://www.9news.com.au/assets/img/9news-image-background.96245abf.jpg,9news.com.au,English,Australia
143,https://www.news.com.au/national/nsw-act/courts-law/john-leslie-morton-arrested-in-sydney-on-child-abuse-charges/news-story/4e1e431806fddca8cbf5ab00a5c71f62,https://amp.news.com.au/national/nsw-act/courts-law/john-leslie-morton-arrested-in-sydney-on-child-abuse-charges/news-story/4e1e431806fddca8cbf5ab00a5c71f62,John Leslie Morton arrested in Sydney on child abuse charges,20200707T071500Z,https://cdn.newsapi.com.au/image/v1/1e607b6d652375997f24eba078778db0,news.com.au,English,Australia
144,https://techxplore.com/news/2020-07-senate-panel-oks-online-child.html,https://techxplore.com/news/2020-07-senate-panel-oks-online-child.amp,US Senate panel OKs online child protection bill amid privacy fears,20200702T213000Z,https://scx2.b-cdn.net/gfx/news/2020/ussenatejudi.jpg,techxplore.com,English,United States
145,https://www.sunshinecoastdaily.com.au/news/aussie-sex-predators-pay-just-15-as-parents-agree-/4031555/,https://m.sunshinecoastdaily.com.au/news/aussie-sex-predators-pay-just-15-as-parents-agree-/4031555/,Aussie sex predators pay $15 as parents  agree to abuse  ,20200606T214500Z,https://media.apnarm.net.au/media/images/2020/06/07/v3imagesbind535af92da5c09d02fada5a9cf5fbd0c-cj1gj8j740jy8gzqgu2_ct1880x930.jpg,sunshinecoastdaily.com.au,English,Australia
146,https://thewest.com.au/news/crime/wa-teen-accused-of-child-exploitation-ring-links-charged-with-abhorrent-sex-child-abuse-ng-b881597452z,https://thewest.com.au/news/crime/wa-teen-accused-of-child-exploitation-ring-links-charged-with-abhorrent-sex-child-abuse-ng-b881597452z.amp,"WA teen accused of child exploitation ring links , charged with  abhorrent  sex child abuse",20200702T230000Z,https://images.s.thewest.com.au/publication/B881597452Z/1593729545794_GI82QN24K.1-2.jpg?imwidth=1024,thewest.com.au,English,Australia
147,https://www.rtvslo.si/crna-kronika/24-letnik-s-celjskega-prek-spleta-posiljal-fotografije-otroske-pornografije/531581,,24 - letnik s Celjskega prek spleta pošiljal fotografije otroške pornografije,20200724T133000Z,https://img.rtvslo.si/_up/upload/2018/04/20/65492074_fp-fb.jpg,rtvslo.si,Slovenian,Slovenia
148,https://www.infowars.com/germany-investigating-30000-potential-suspects-in-pedophile-probe/,,"Germany Investigating 30 , 000 Potential Suspects in Pedophile Probe",20200630T184500Z,https://assets.infowars.com/2020/06/kinderp.jpg,infowars.com,English,United States
149,https://www.smh.com.au/national/queensland/brisbane-man-21-charged-with-child-abuse-offences-20200717-p55cwj.html,https://amp.smh.com.au/national/queensland/brisbane-man-21-charged-with-child-abuse-offences-20200717-p55cwj.html,"Brisbane man , 21 , charged with child abuse offences",20200716T231500Z,https://static.ffx.io/images/$zoom_0.2627%2C$multiply_0.7554%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_189/t_crop_custom/q_86%2Cf_auto/931d8d7db6d72fe0ba68a957294defe832dbf8e0,smh.com.au,English,Australia
150,https://www.taxydromos.gr/Diethni/372749-terastio-kyklwma-se3oyalikhs-kakopoihshs-paidiwn-sth-germania.html,,Τεράστιο κύκλωμα σεξουαλικής κακοποίησης παιδιών στη Γερμανία,20200701T103000Z,https://www.taxydromos.gr/data/news/1593597688445057772.jpg,taxydromos.gr,Greek,Greece
151,https://www.tribuneindia.com/news/nation/cbi-books-delhi-based-private-company-for-hosting-child-porn-website-of-russian-domain-93466,https://m.tribuneindia.com/news/nation/cbi-books-delhi-based-private-company-for-hosting-child-porn-website-of-russian-domain-93466,CBI books Delhi - based private company for hosting child porn website of Russian domain,20200602T203000Z,https://cms.tribuneindia.com/gallary_content/2020/6/2020_6$largeimg_710321347.jpg,tribuneindia.com,English,India
